PI_number,Height
PI52606,0.184691430817599
PI52606,0.193124598354462
PI52606,0.146128035678238
PI527045,0.292256071356476
PI527045,0.267171728403014
PI527045,0.255272505103306
PI535792,0.374748346010104
PI535792,0.474216264076255
PI535792,0.514547752660286
PI152963,0.521138083704036
PI152963,0.569373909615046
PI152963,0.52244423350632
PI253986,0.620136054973758
PI253986,0.631443769013172
PI253986,0.45178643552429
PI533902,0.324282455297693
PI533902,0.217483944213906
PI533902,0.296665190261531
PI155149,0.181843587944773
PI155149,0.262451089730429
PI155149,0.307496037913213
PI455217,0.352182518111363
PI455217,0.307496037913213
PI455217,0.322219294733919
PI576401,0.372912002970107
PI576401,0.359835482339888
PI576401,0.305351369446624
PI656065,0.575187844927661
PI656065,0.555094448578319
PI656065,0.322219294733919
PI226096,0.0492180226701817
PI226096,-0.0457574905606751
PI226096,0.00860017176191757
PI641807,0.00432137378264258
PI641807,0.0606978403536117
PI641807,0.0374264979406237
PI329841,0.507855871695831
PI329841,0.481442628502305
PI329841,0.463892988985907
PI656015,0.429752280002408
PI656015,0.484299839346786
PI656015,0.352182518111363
PI330182,0.00432137378264258
PI330182,-0.0362121726544447
PI330182,-0.0409586076789064
PI213900,0.110589710299249
PI213900,0.164352855784437
PI213900,0.127104798364808
PI655978,0.507855871695831
PI655978,0.498310553789601
PI655978,0.450249108319361
PI593916,0.447158031342219
PI593916,0.450249108319361
PI593916,0.397940008672038
PI181080,0.12057393120585
PI181080,0.164352855784437
PI181080,0.103803720955957
PI329256,-0.0177287669604316
PI329256,-0.00877392430750515
PI329256,0.0374264979406237
PI569097,0.152288344383056
PI569097,0.176091259055681
PI569097,0.190331698170292
PI535793,0.372912002970107
PI535793,0.413299764081252
PI535793,0.320146286111054
PI330181,0.00432137378264258
PI330181,0.0413926851582251
PI92270,0.392696953259666
PI92270,0.426511261364575
PI92270,0.484299839346786
PI197542,0.397940008672038
PI197542,0.326335860928751
PI197542,0.413299764081252
PI563332,0.528916700277655
PI563332,0.531478917042255
PI563332,0.456366033129043
PI569148,0.14921911265538
PI569148,0.00860017176191757
PI569148,0.127104798364808
PI329519,0.586587304671755
PI329519,0.332438459915605
PI329519,0.394451680826216
PI329843,0.397940008672038
PI329843,0.406540180433955
PI329843,0.484299839346786
PI329569,0.212187604403958
PI329569,0.367355921026019
PI329569,0.315970345456918
PI181899,0.507855871695831
PI181899,0.428134794028789
PI181899,0.394451680826216
PI452544,0.550228353055094
PI452544,0.574031267727719
PI452544,0.423245873936808
PI550604,0.212187604403958
PI550604,0.209515014542631
PI550604,0.235528446907549
PI181083,0.285557309007774
PI181083,0.305351369446624
PI181083,0.193124598354462
PI300119,0.426511261364575
PI300119,0.444044795918076
PI300119,0.447158031342219
PI540518,0.167317334748176
PI540518,0.232996110392154
PI540518,0.139879086401236
PI92270,0.424881636631067
PI92270,0.28330122870355
PI92270,0.404833716619938
PI329403,0.664641975556126
PI329403,0.631443769013172
PI329403,0.706717782336759
PI297155,0.217483944213906
PI297155,0.250420002308894
PI297155,0.155336037465062
PI196049,0.716003343634799
PI196049,0.643452676486187
PI196049,0.660865478003869
PI535794,0.635483746814912
PI535794,0.161368002234975
PI535794,0.110589710299249
PI585577,0.651278013998144
PI585577,0.539076098792777
PI585577,0.546542663478131
PI329570,0.550228353055094
PI329570,0.640481436970422
PI329570,0.61066016308988
PI533998,-0.0315170514460649
PI533998,-0.1249387366083
PI533998,-0.0861861476162833
PI656015,0.0718820073061254
PI656015,0.127104798364808
PI656015,0.201397124320452
PI569097,0.545307116465824
PI569097,0.577491799837225
PI569097,0.631443769013172
PI561840,0.136720567156407
PI561840,0.0934216851622351
PI561840,0.0170333392987804
PI329702,0.648360010980932
PI329702,0.745855195173729
PI329702,0.654176541877961
PI330181,0.682145076373832
PI330181,0.576341350205793
PI569148,0.578639209968072
PI569148,0.576341350205793
PI569148,0.469822015978163
PI330182,0.534026106056135
PI330182,0.664641975556126
PI330182,0.532754378992498
PI564163,-0.130768280269024
PI564163,-0.0861861476162833
PI564163,-0.113509274827518
PI562970,0.574031267727719
PI562970,0.544068044350276
PI562970,0.546542663478131
PI452542,0.534026106056135
PI452542,0.655138434811382
PI452542,0.651278013998144
PI329519,0.638489256954637
PI329519,0.459392487759231
PI329519,0.589949601325708
PI562985,0.711807229041191
PI562985,0.700703717145019
PI562985,0.655138434811382
PI533792,-0.10790539730952
PI533792,-0.142667503568732
PI533792,-0.148741651280925
